ejbname	Number_Of_Calls
com.fares.lookup.ejb.LookupServiceEJB_htzec7_HomeImpl	85
com.fares.administration.ejb.EmailServiceBean_cytgry_HomeImpl	572
com.fares.preference.ejb.PreferenceService_wcbi7k_HomeImpl	223
com.fares.retrends.ejb.RetrendsService_1af6bp_HomeImpl	1
com.fares.smartsearch.ejb.SmartSearch_3wwr4_HomeImpl	48
com.fares.useraccess.ejb.ClassicUserAccessService_kwa3z1_HomeImpl	7
com.fares.useraccess.ejb.UserAccessService_wrjm2t_HomeImpl	37
com.fares.utility.ejb.UtilityService_e2716b_HomeImpl	2
com.fares.vectorrules.ejb.VectorRulesCascadeService_6qcswr_HomeImpl	12
com.fares.vectorrules.ejb.VectorRulesUtilService_d6pqih_HomeImpl	1
com.fares.administration.ejb.EmailServiceBean_cytgry_HomeImpl	3
